name,category,latitude,longitude,weight,source
Synthetic metro population 1,population,41.26998918197133,28.86968569718772,1603,SYNTHETIC_DEMO
Synthetic industrial area 2,industry,40.767427621115665,29.884042091844922,590,SYNTHETIC_DEMO
Synthetic hospital group 3,health,38.603683158905056,27.12873578223991,229,SYNTHETIC_DEMO
Synthetic shelter inventory 4,shelter,37.71058829111909,36.964535504325276,702,SYNTHETIC_DEMO
Synthetic transport node 5,transport,39.90885550688004,39.766249794692364,212,SYNTHETIC_DEMO
Synthetic metro population 6,population,41.03512481099214,28.533969790301686,1307,SYNTHETIC_DEMO
Synthetic industrial area 7,industry,40.73389908842367,29.922541795840072,618,SYNTHETIC_DEMO
Synthetic hospital group 8,health,38.31323949943964,27.2303602923023,518,SYNTHETIC_DEMO
Synthetic shelter inventory 9,shelter,37.410257639644605,36.92343351067818,402,SYNTHETIC_DEMO
Synthetic transport node 10,transport,39.56046956579555,39.46179398376027,474,SYNTHETIC_DEMO
Synthetic metro population 11,population,41.053627545125394,29.272049309357563,1915,SYNTHETIC_DEMO
Synthetic industrial area 12,industry,40.69317236152929,29.671176830742034,423,SYNTHETIC_DEMO
Synthetic hospital group 13,health,38.34783512069952,27.323176805465533,302,SYNTHETIC_DEMO
Synthetic shelter inventory 14,shelter,37.817911912066606,36.81636471581239,558,SYNTHETIC_DEMO
Synthetic transport node 15,transport,39.69234061321007,39.44609261773866,547,SYNTHETIC_DEMO
Synthetic metro population 16,population,40.92402443248272,28.9934171777121,1985,SYNTHETIC_DEMO
Synthetic industrial area 17,industry,40.55364182464015,29.693008723336053,579,SYNTHETIC_DEMO
Synthetic hospital group 18,health,38.57936872606428,27.187625826314406,380,SYNTHETIC_DEMO
Synthetic shelter inventory 19,shelter,37.60266110195712,36.96522132519492,762,SYNTHETIC_DEMO
Synthetic transport node 20,transport,39.66659023832868,39.44046820835225,455,SYNTHETIC_DEMO
Synthetic metro population 21,population,41.043552992057414,29.175882110259955,885,SYNTHETIC_DEMO
