item_id,datetime,platform,orbit_state,relative_orbit,instrument_mode,polarizations,stac_url,source
S1-DEMO-000,2026-04-05T09:01:50.259723+00:00,sentinel-1-demo,ascending,87,IW,"VV, VH",,SYNTHETIC_DEMO
S1-DEMO-001,2026-04-11T09:01:50.259723+00:00,sentinel-1-demo,descending,167,IW,"VV, VH",,SYNTHETIC_DEMO
S1-DEMO-002,2026-04-17T09:01:50.259723+00:00,sentinel-1-demo,ascending,87,IW,"VV, VH",,SYNTHETIC_DEMO
S1-DEMO-003,2026-04-23T09:01:50.259723+00:00,sentinel-1-demo,descending,167,IW,"VV, VH",,SYNTHETIC_DEMO
S1-DEMO-004,2026-04-29T09:01:50.259723+00:00,sentinel-1-demo,ascending,87,IW,"VV, VH",,SYNTHETIC_DEMO
S1-DEMO-005,2026-05-05T09:01:50.259723+00:00,sentinel-1-demo,descending,167,IW,"VV, VH",,SYNTHETIC_DEMO
S1-DEMO-006,2026-05-11T09:01:50.259723+00:00,sentinel-1-demo,ascending,87,IW,"VV, VH",,SYNTHETIC_DEMO
S1-DEMO-007,2026-05-17T09:01:50.259723+00:00,sentinel-1-demo,descending,167,IW,"VV, VH",,SYNTHETIC_DEMO
S1-DEMO-008,2026-05-23T09:01:50.259723+00:00,sentinel-1-demo,ascending,87,IW,"VV, VH",,SYNTHETIC_DEMO
S1-DEMO-009,2026-05-29T09:01:50.259723+00:00,sentinel-1-demo,descending,167,IW,"VV, VH",,SYNTHETIC_DEMO
S1-DEMO-010,2026-06-04T09:01:50.259723+00:00,sentinel-1-demo,ascending,87,IW,"VV, VH",,SYNTHETIC_DEMO
S1-DEMO-011,2026-06-10T09:01:50.259723+00:00,sentinel-1-demo,descending,167,IW,"VV, VH",,SYNTHETIC_DEMO
S1-DEMO-012,2026-06-16T09:01:50.259723+00:00,sentinel-1-demo,ascending,87,IW,"VV, VH",,SYNTHETIC_DEMO
S1-DEMO-013,2026-06-22T09:01:50.259723+00:00,sentinel-1-demo,descending,167,IW,"VV, VH",,SYNTHETIC_DEMO
S1-DEMO-014,2026-06-28T09:01:50.259723+00:00,sentinel-1-demo,ascending,87,IW,"VV, VH",,SYNTHETIC_DEMO
S1-DEMO-015,2026-07-04T09:01:50.259723+00:00,sentinel-1-demo,descending,167,IW,"VV, VH",,SYNTHETIC_DEMO
S1-DEMO-016,2026-07-10T09:01:50.259723+00:00,sentinel-1-demo,ascending,87,IW,"VV, VH",,SYNTHETIC_DEMO
S1-DEMO-017,2026-07-16T09:01:50.259723+00:00,sentinel-1-demo,descending,167,IW,"VV, VH",,SYNTHETIC_DEMO
S1-DEMO-018,2026-07-22T09:01:50.259723+00:00,sentinel-1-demo,ascending,87,IW,"VV, VH",,SYNTHETIC_DEMO
S1-DEMO-019,2026-07-28T09:01:50.259723+00:00,sentinel-1-demo,descending,167,IW,"VV, VH",,SYNTHETIC_DEMO
S1-DEMO-020,2026-08-03T09:01:50.259723+00:00,sentinel-1-demo,ascending,87,IW,"VV, VH",,SYNTHETIC_DEMO
S1-DEMO-021,2026-08-09T09:01:50.259723+00:00,sentinel-1-demo,descending,167,IW,"VV, VH",,SYNTHETIC_DEMO
S1-DEMO-022,2026-08-15T09:01:50.259723+00:00,sentinel-1-demo,ascending,87,IW,"VV, VH",,SYNTHETIC_DEMO
S1-DEMO-023,2026-08-21T09:01:50.259723+00:00,sentinel-1-demo,descending,167,IW,"VV, VH",,SYNTHETIC_DEMO
S1-DEMO-024,2026-08-27T09:01:50.259723+00:00,sentinel-1-demo,ascending,87,IW,"VV, VH",,SYNTHETIC_DEMO
S1-DEMO-025,2026-09-02T09:01:50.259723+00:00,sentinel-1-demo,descending,167,IW,"VV, VH",,SYNTHETIC_DEMO
S1-DEMO-026,2026-09-08T09:01:50.259723+00:00,sentinel-1-demo,ascending,87,IW,"VV, VH",,SYNTHETIC_DEMO
S1-DEMO-027,2026-09-14T09:01:50.259723+00:00,sentinel-1-demo,descending,167,IW,"VV, VH",,SYNTHETIC_DEMO
S1-DEMO-028,2026-09-20T09:01:50.259723+00:00,sentinel-1-demo,ascending,87,IW,"VV, VH",,SYNTHETIC_DEMO
S1-DEMO-029,2026-09-26T09:01:50.259723+00:00,sentinel-1-demo,descending,167,IW,"VV, VH",,SYNTHETIC_DEMO
